,Cloud Top Height,Cloud Top Temperature,Cloud Top Phase,Shortwave Albedo,Long Wave Flux,Ice Water Path,Cloud Particle Size,RF
2018-02-24 02:22:50,1.5477714538574219,5.841149902343773,1.0,12.289552688598633,250.47897338867188,30.370515823364258,29.28119659423828,RF15
2018-02-24 02:23:00,1.5477714538574219,5.841149902343773,1.0,12.289552688598633,250.47897338867188,30.370515823364258,29.28119659423828,RF15
2018-02-24 02:23:10,2.0194320678710938,2.4862915039062727,1.0,32.65752029418945,240.0056610107422,107.29048919677734,21.197216033935547,RF15
2018-02-24 02:23:20,2.1554527282714844,1.5187927246093977,1.0,43.03893280029297,237.9742889404297,189.286376953125,20.228282928466797,RF15
2018-02-24 02:23:30,2.0998001098632812,1.9146667480468977,1.0,43.97369384765625,238.7770233154297,192.2869415283203,19.218584060668945,RF15
2018-02-24 02:23:40,2.0998001098632812,1.9146667480468977,1.0,43.97369384765625,238.7770233154297,192.2869415283203,19.218584060668945,RF15
2018-02-24 02:23:50,1.9735488891601562,2.8126770019531477,1.0,46.6107177734375,240.60733032226562,227.70668029785156,18.545486450195312,RF15
2018-02-24 02:24:00,1.9965896606445312,2.6487670898437727,1.0,46.940975189208984,240.271728515625,225.5463104248047,17.980037689208984,RF15
2018-02-24 02:24:10,1.9965896606445312,2.6487670898437727,1.0,46.940975189208984,240.271728515625,225.5463104248047,17.980037689208984,RF15
2018-02-24 02:24:20,1.9169464111328125,3.2152648925781477,1.0,44.010318756103516,241.4220733642578,194.2372589111328,19.138452529907227,RF15
2018-02-24 02:24:30,1.8765869140625,3.5023437500000227,1.0,44.05998611450195,242.00543212890625,204.17425537109375,20.026973724365234,RF15
2018-02-24 02:24:40,1.8765869140625,3.5023437500000227,1.0,44.05998611450195,242.00543212890625,204.17425537109375,20.026973724365234,RF15
2018-02-24 02:24:50,1.8582572937011719,3.6327148437500227,1.0,47.046234130859375,242.2765350341797,258.0000915527344,20.333829879760742,RF15
2018-02-24 02:25:00,1.8205680847167969,3.9007812500000227,1.0,51.101463317871094,242.79129028320312,318.00262451171875,18.879310607910156,RF15
2018-02-24 02:25:00,1.7675666809082031,4.336907958984398,1.0,26.24253273010254,244.5386199951172,74.46479034423828,21.876558303833008,RF15
2018-02-24 02:25:10,1.7675666809082031,4.336907958984398,1.0,26.24253273010254,244.5386199951172,74.46479034423828,21.876558303833008,RF15
2018-02-24 02:25:20,1.6672210693359375,5.043145751953148,1.0,22.62900161743164,246.13192749023438,52.956695556640625,20.247716903686523,RF15
2018-02-24 02:25:30,1.7609977722167969,4.383142089843773,1.0,32.08631896972656,244.52328491210938,105.89757537841797,21.66429901123047,RF15
2018-02-24 02:25:40,1.7609977722167969,4.383142089843773,1.0,32.08631896972656,244.52328491210938,105.89757537841797,21.66429901123047,RF15
2018-02-24 02:25:50,1.8372802734375,3.8462768554687727,1.0,36.969970703125,243.48834228515625,167.28089904785156,24.99921989440918,RF15
2018-02-24 02:26:00,1.8373222351074219,3.8459716796875227,1.0,37.875308990478516,243.4884490966797,181.73130798339844,25.4267578125,RF15
2018-02-24 02:26:10,1.8321342468261719,3.8825012207031477,1.0,38.88508987426758,243.5484161376953,185.5476837158203,24.465423583984375,RF15
2018-02-24 02:26:20,1.8303031921386719,3.9314208984375227,1.0,41.96635818481445,243.63375854492188,210.04547119140625,23.40605354309082,RF15
2018-02-24 02:26:30,1.8014411926269531,4.133966064453148,1.0,46.59333038330078,244.01995849609375,279.4000244140625,22.396244049072266,RF15
2018-02-24 02:26:40,1.7384300231933594,4.576165771484398,1.0,28.791719436645508,244.9130401611328,79.59980773925781,20.042869567871094,RF15
2018-02-24 02:26:50,1.7384300231933594,4.576165771484398,1.0,28.791719436645508,244.9130401611328,79.59980773925781,20.042869567871094,RF15
2018-02-24 02:27:00,1.8207244873046875,3.9986206054687727,1.0,27.869335174560547,243.8258819580078,83.76903533935547,21.887374877929688,RF15
2018-02-24 02:27:10,1.8753929138183594,3.6149536132812727,1.0,48.688663482666016,242.97103881835938,272.3950500488281,19.198741912841797,RF15
2018-02-24 02:27:20,1.8753929138183594,3.6149536132812727,1.0,48.688663482666016,242.97103881835938,272.3950500488281,19.198741912841797,RF15
2018-02-24 02:27:30,1.8769149780273438,3.6042724609375227,1.0,37.2356071472168,242.97409057617188,134.4833526611328,20.129802703857422,RF15
2018-02-24 02:27:40,1.8682327270507812,3.6652160644531477,1.0,27.51460075378418,243.16903686523438,71.52444458007812,19.374210357666016,RF15
2018-02-24 02:27:50,1.902801513671875,3.4226013183593977,1.0,41.892799377441406,242.57736206054688,164.0290985107422,18.726884841918945,RF15
2018-02-24 02:28:00,1.9032821655273438,3.4192443847656477,1.0,35.12547302246094,242.57827758789062,99.08706665039062,17.10245132446289,RF15
2018-02-24 02:28:10,1.8894386291503906,3.5163818359375227,1.0,31.499427795410156,242.76318359375,71.65924835205078,15.48049259185791,RF15
2018-02-24 02:28:20,1.8894386291503906,3.5163818359375227,1.0,31.499427795410156,242.76318359375,71.65924835205078,15.48049259185791,RF15
2018-02-24 02:28:30,1.7880439758300781,4.227990722656273,1.0,20.22382926940918,245.29458618164062,30.351591110229492,14.258091926574707,RF15
2018-02-24 02:28:40,1.9638519287109375,2.9941650390625227,1.0,26.68669891357422,241.86973571777344,45.8399543762207,13.886856079101562,RF15
2018-02-24 02:28:50,1.9638519287109375,2.9941650390625227,1.0,26.68669891357422,241.86973571777344,45.8399543762207,13.886856079101562,RF15
2018-02-24 02:29:00,1.9580001831054688,2.9107604980468977,1.0,40.287628173828125,243.3900146484375,108.64286041259766,14.105868339538574,RF15
2018-02-24 02:29:10,1.9834060668945312,2.7331176757812727,1.0,39.03792190551758,243.07164001464844,109.86611938476562,15.321245193481445,RF15
2018-02-24 02:29:20,1.9834060668945312,2.7331176757812727,1.0,39.03792190551758,243.07164001464844,109.86611938476562,15.321245193481445,RF15
2018-02-24 02:29:30,1.9818954467773438,2.7436767578125227,1.0,47.438594818115234,243.06793212890625,187.15469360351562,15.00274658203125,RF15
2018-02-24 02:29:40,1.9261436462402344,3.1335083007812727,1.0,40.78487014770508,243.8336639404297,115.34947204589844,14.57679557800293,RF15
2018-02-24 02:29:50,1.9261436462402344,3.1335083007812727,1.0,40.78487014770508,243.8336639404297,115.34947204589844,14.57679557800293,RF15
2018-02-24 02:30:00,1.9120368957519531,3.2321716308593977,1.0,31.946748733520508,244.0355987548828,61.600860595703125,13.491597175598145,RF15
2018-02-24 02:30:10,1.8465118408203125,3.6903320312500227,1.0,39.53575134277344,244.8391876220703,85.955810546875,11.959747314453125,RF15
